Clause_ID,System,Paper_Section,Paper_Requirement,Production_File,Production_Lines,Production_Symbol,Executed_Path,Unit_Test_Name,Status,Evidence_Strength,Notes
S4.C3,System 4,§9.2.1,"cap_eff = cap * (1 + ln(max(1, RVOL)))",src/weightiz/module2/core.py,1021-1024,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_cap_is_not_recomputed_on_working_window,EXACT_MATCH,MODERATE,"Current-bar cap expansion matches, but executed historical bars are not recomputed with decision-time `RVOL_t`."
S4.C4,System 4,§9.2.1,zero-blocking inside the log is present exactly,src/weightiz/module2/core.py,1021-1023,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,"Uses `log(max(1.0, rvol))` exactly."
S4.C5,System 4,§9.2.1,"V_prof = min(V_k, cap_eff)",src/weightiz/module2/market_profile_kernels.py,101-103,build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_vprof_is_scaled_by_rvol_in_executed_kernel,EXACT_MATCH,STRONG,"Executed helper multiplies by RVOL. Numeric proof: expected 8.0, actual 24.0."
S4.C6,System 4,§10.1,CLV is implemented exactly,src/weightiz/module2/core.py,1048-1049,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_true_range_and_atr_floor_numeric,EXACT_MATCH,MODERATE,"For non-zero ranges the formula matches, but the zero-range path uses `range_ + eps_div`, which is not written exactly as the paper."
S4.C7,System 4,§10.1,normalized return r_k uses current ATRfloor_t denominator,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_kernels.py,1026-1030; 49-57,precompute_market_physics / compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,STRONG,"Executed path uses per-bar `ret_norm[t]`, not historical `r_k` recomputed against decision-time `ATRfloor_t`."
S4.C8,System 4,§10.1,s_r(t) is robust rolling scale using 1.4826 * MAD,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py,1032-1041; 295-317,precompute_market_physics / run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,STRONG,The executed pSR path consumes precomputed `s_r[t]`; it does not compute `s_r(t)` over the active decision-time window W(t).
S4.C9,System 4,§10.1,"s_eff^r(t) = max(s_r(t), DX/2)",src/weightiz/module2/core.py; src/weightiz/module2/market_profile_kernels.py,1040-1041; 49-57,precompute_market_physics / compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,STRONG,"Precompute floors s_r at `cfg.ret_scale_min` (default 0.05), while the kernel then uses `s_r + eps_div`; the paper requires `max(s_r, DX/2)`."
S4.C10,System 4,§10.1,k_r(t) = ln(9) / (s_eff^r(t) + epsilon_pdf),src/weightiz/module2/market_profile_kernels.py,49-57,compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,STRONG,Executed code uses `ln(9) * ret_norm / (s_r + eps_div)`; epsilon_pdf is not used in the slope denominator.
S4.C11,System 4,§10.1,p_buy_SR = sigmoid(k_r(t) * r_k),src/weightiz/module2/market_profile_kernels.py,49-57,compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,STRONG,"Numeric proof: expected p_buy_SR 0.7065921139695979, actual 0.75."
S4.C12,System 4,§10.2,p_buy_CLV = sigmoid(6 * CLV_k),src/weightiz/module2/market_profile_kernels.py,51-53,compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,MODERATE,"The kernel uses `sigmoid(6 * clv)` exactly, but the upstream CLV edge handling is not an exact textual match to the paper."
S4.C13,System 4,§10.2,"w_trend = clip(body_pct_k, 0, 1)",src/weightiz/module2/market_profile_kernels.py,53-54,compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_body_pct_uses_extra_eps_div_in_denominator,EXACT_MATCH,MODERATE,The clip matches; the source `body_pct` differs from the paper in System 3.
S4.C14,System 4,§10.2,p_buy = w_trend * p_buy_SR + (1 - w_trend) * p_buy_CLV,src/weightiz/module2/market_profile_kernels.py,53-57,compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,MODERATE,"Blend structure matches, but the SR leg and body_pct input do not."
S4.C15,System 4,§10.2,p_sell = 1 - p_buy,src/weightiz/module2/market_profile_kernels.py,54-57,compute_pbuy_and_delta_coeff,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,MODERATE,Sell is only implicit via `delta_coeff = 2 * p_buy - 1`; there is no explicit executed `p_sell` tensor.
S4.C16,System 4,§10.3,buy/sell/delta mass formulas match the paper exactly,src/weightiz/module2/market_profile_kernels.py; src/weightiz/module2/market_profile_engine.py,101-145; 324-338,build_bar_mixture_params / inject_profile_mass / run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_buy_sell_profile_outputs_are_missing_from_public_state,EXACT_MATCH,STRONG,"The executed path only materializes total and delta masses, total mass already differs via `V_prof * RVOL`, and buy/sell profile outputs are absent."
S5.C1,System 5,§11,"VP_t, VP_buy_t, VP_sell_t, VP_delta_t aggregated exactly as specified",src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/tensor_builder.py; src/weightiz/module2/market_profile_kernels.py,"324-338,351-357; 50-79; 140-145",run_streaming_profile_engine / apply_rolling_update / inject_profile_mass,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_buy_sell_profile_outputs_are_missing_from_public_state,EXACT_MATCH,STRONG,Only VP_t and VP_delta_t exist; VP_buy/VP_sell are missing and VP_t itself is built from per-bar local-frame injections.
S5.C2,System 5,§12.1,POC uses argmax(VP_t),src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py,"703-713,731-805; 375-379",_build_poc_rank / compute_value_area_greedy / run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,The executed path selects max mass and resolves ties with the sealed deterministic ranking.
S5.C3,System 5,§12.2,Value Area target mass is 70% of total mass,src/weightiz/module2/core.py,752-754,compute_value_area_greedy,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,`target = va_threshold * total` with the executed threshold passed as 0.70 in the audit test.
S5.C4,System 5,§12.2,VA expansion starts from POC,src/weightiz/module2/core.py,"755-757,765-768",compute_value_area_greedy,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,"`ival = ipoc.copy(); ivah = ipoc.copy(); covered = vp[..., ipoc]`."
S5.C5,System 5,§12.2,"VA expansion is iterative greedy, one neighbor at a time",src/weightiz/module2/core.py,769-800,compute_value_area_greedy,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,The while-loop adds exactly one side per step based on neighboring mass.
S5.C6,System 5,§12.2,"if one side is out of bounds, choose the in-bounds side deterministically",src/weightiz/module2/core.py,772-777,compute_value_area_greedy,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,Explicit OOB branches choose the in-bounds side.
S5.C7,System 5,§12.2,"tie-break rule: first smaller |x|, then left",src/weightiz/module2/core.py,785-794,compute_value_area_greedy,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,"Tie branch compares `abs(x[li])`, `abs(x[ri])`, then falls through to `choose_left = True`."
S5.C8,System 5,§13,mu_prof and sigma_prof use epsilon_vol denominators as specified,src/weightiz/module2/market_profile_engine.py,359-367,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_profile_moments_are_not_derived_from_discrete_grid,EXACT_MATCH,MODERATE,"Denominators use `eps_vol`, but the executed moments come from closed-form mixture aggregates rather than the discrete VP_t grid."
S5.C9,System 5,§13.1,"sigma_eff_prof = max(sigma_prof, 2 * DX)",src/weightiz/module2/market_profile_engine.py,368-370,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,STRONG,"`sigma_eff = maximum(sigma_prof, 2.0 * dx)`."
S5.C10,System 5,§13-§13.2,"D(t), A(t), Delta0, DeltaPOC, wpoc, DeltaEff all match exactly",src/weightiz/module2/market_profile_engine.py,362-386,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_profile_moments_are_not_derived_from_discrete_grid,EXACT_MATCH,STRONG,"A_aff, Delta0, DeltaPOC, and DeltaEff use VP_t, but D uses closed-form mixture moments instead of the discrete profile required by the paper."
S5.C11,System 5,§14,"Dclip = clip(D, -6, 6)",src/weightiz/module2/market_profile_engine.py,369-370,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_value_area_and_poc_tie_breaks_match_spec,EXACT_MATCH,MODERATE,"Clip logic matches, but the bounds come from mutable config and upstream D is already mismatched in S5.C10."
S5.C12,System 5,§14,breakout and rejection base scores match exactly,src/weightiz/module2/market_profile_engine.py,474-484,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,MODERATE,"Formula structure matches, but D and upstream hybrid-delta inputs do not fully match the paper."
S5.C13,System 5,§14.1,"delta lookback is L = min(3W, m_t)",src/weightiz/module2/market_profile_engine.py,428-455,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_delta_noise_uses_current_row_instead_of_past_only,EXACT_MATCH,STRONG,"The executed path uses a fixed rolling window `delta_mad_lookback_bars` over the current segment, not explicit `L=min(3W,m_t)` past-only indices."
S5.C14,System 5,§14.1,delta-noise computation uses past-only indices,src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/core.py,433-455; 574-623,run_streaming_profile_engine / _rolling_median_mad_causal,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_delta_noise_uses_current_row_instead_of_past_only,EXACT_MATCH,STRONG,"Numeric proof: expected past-only MAD 5.0, actual 0.0 because the current row is included in the rolling window."
S5.C15,System 5,§14.1,"if session/gap reset is crossed, delta change is set deterministically as specified",src/weightiz/module2/market_profile_engine.py,414-426,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_delta_change_is_zeroed_on_session_reset,EXACT_MATCH,STRONG,Reset rows set `d_delta[t] = 0.0`; the spy test confirms zero change at the first row of the new segment.
S5.C16,System 5,§14.1,"sigma_delta = max(level_noise, change_noise, 0.05)",src/weightiz/module2/market_profile_engine.py,448-455,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_delta_change_is_zeroed_on_session_reset,EXACT_MATCH,MODERATE,"The max-floor structure matches, but the underlying windows are not the paper’s past-only `L=min(3W,m_t)` set."
S5.C17,System 5,§14.1,Gbreak and Greject use sigmoid(ln(9)*(...)),src/weightiz/module2/market_profile_engine.py,465-467,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,STRONG,"`gbreak = sigmoid(ln9 * (z_delta - threshold))`, `greject = sigmoid(ln9 * (-z_delta - threshold))`."
S5.C18,System 5,§14.1,final Sbreak and Sreject match exactly,src/weightiz/module2/market_profile_engine.py,486-509,run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_hybrid_delta_signed_return_path_differs_from_paper,EXACT_MATCH,MODERATE,"Final multiplication matches, but upstream base scores and z_delta do not fully match the paper."
S5.C19,System 5,"§16.1, Algorithm 1",fail-closed NaN/Inf handling matches the paper if present,src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/core.py,"515-518,520-534; 1636-1640",run_streaming_profile_engine / run_weightiz_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_warmup_mask_policy_leaves_nonfinite_outputs,EXACT_MATCH,STRONG,`warmup_mask` writes NaNs into profile_stats/scores without raising. The paper requires fail-fast on NaN/Inf.
